iter	Passed	Remaining
0	91	91622
1	132	66249
2	171	56935
3	198	49396
4	224	44726
5	259	42917
6	298	42284
7	325	40339
8	355	39102
9	390	38696
10	425	38273
11	473	38997
12	507	38522
13	534	37671
14	558	36654
15	571	35173
16	585	33870
17	610	33310
18	658	33985
19	697	34172
20	731	34120
21	754	33522
22	788	33497
23	810	32969
24	847	33065
25	888	33282
26	915	32977
27	943	32763
28	971	32537
29	1025	33160
30	1061	33168
31	1092	33047
32	1123	32930
33	1155	32832
34	1183	32620
35	1221	32722
36	1266	32961
37	1297	32851
38	1326	32697
39	1355	32524
40	1385	32408
41	1424	32492
42	1453	32355
43	1480	32156
44	1509	32042
45	1536	31859
46	1562	31687
47	1579	31318
48	1606	31186
49	1650	31358
50	1684	31339
51	1705	31091
52	1722	30780
53	1756	30771
54	1793	30814
55	1821	30711
56	1866	30884
57	1910	31030
58	1946	31039
59	1972	30894
60	2009	30931
61	2059	31156
62	2087	31049
63	2106	30811
64	2140	30793
65	2185	30923
66	2224	30980
67	2249	30835
68	2284	30821
69	2309	30688
70	2341	30640
71	2363	30466
72	2389	30340
73	2423	30323
74	2469	30457
75	2511	30529
76	2544	30498
77	2577	30461
78	2610	30431
79	2658	30571
80	2694	30571
81	2720	30458
82	2745	30331
83	2776	30282
84	2807	30224
85	2845	30240
86	2878	30203
87	2913	30199
88	2944	30139
89	2976	30092
90	3016	30134
91	3042	30029
92	3070	29947
93	3101	29896
94	3128	29807
95	3154	29708
96	3199	29788
97	3239	29817
98	3266	29728
99	3290	29615
100	3316	29521
101	3337	29385
102	3366	29315
103	3407	29359
104	3448	29398
105	3470	29271
106	3492	29150
107	3521	29088
108	3554	29057
109	3579	28958
110	3597	28816
111	3637	28840
112	3693	28995
113	3714	28872
114	3736	28753
115	3770	28734
116	3814	28790
117	3864	28882
118	3889	28792
119	3913	28700
120	3934	28580
121	3961	28506
122	4000	28521
123	4033	28497
124	4065	28457
125	4080	28302
126	4098	28175
127	4130	28142
128	4161	28095
129	4205	28147
130	4246	28171
131	4272	28094
132	4307	28080
133	4323	27942
134	4363	27960
135	4403	27975
136	4429	27901
137	4461	27869
138	4494	27842
139	4515	27739
140	4543	27677
141	4595	27764
142	4621	27699
143	4640	27586
144	4674	27563
145	4699	27490
146	4748	27556
147	4789	27570
148	4814	27494
149	4846	27460
150	4872	27393
151	4914	27417
152	4946	27383
153	4966	27281
154	4995	27235
155	5017	27147
156	5045	27092
157	5077	27058
158	5117	27066
159	5144	27008
160	5177	26980
161	5204	26920
162	5226	26835
163	5266	26844
164	5305	26849
165	5329	26778
166	5358	26727
167	5379	26642
168	5413	26617
169	5444	26582
170	5460	26474
171	5493	26446
172	5526	26418
173	5561	26403
174	5582	26319
175	5613	26282
176	5640	26227
177	5655	26117
178	5680	26052
179	5707	26002
180	5725	25907
181	5746	25827
182	5793	25863
183	5827	25843
184	5844	25747
185	5860	25648
186	5889	25605
187	5907	25517
188	5939	25484
189	5972	25460
190	6010	25459
191	6069	25540
192	6107	25536
193	6141	25514
194	6163	25442
195	6210	25476
196	6243	25449
197	6262	25365
198	6285	25299
199	6299	25198
200	6312	25091
201	6326	24991
202	6345	24914
203	6358	24810
204	6372	24711
205	6386	24615
206	6401	24522
207	6414	24423
208	6427	24327
209	6441	24232
210	6453	24132
211	6467	24037
212	6481	23947
213	6496	23860
214	6508	23763
215	6522	23673
216	6536	23586
217	6549	23495
218	6562	23404
219	6577	23318
220	6589	23228
221	6607	23157
222	6621	23072
223	6637	22992
224	6652	22914
225	6667	22835
226	6688	22777
227	6717	22746
228	6755	22743
229	6792	22738
230	6822	22711
231	6850	22676
232	6884	22663
233	6918	22648
234	6939	22589
235	6955	22515
236	6970	22442
237	6989	22377
238	7026	22372
239	7055	22342
240	7070	22268
241	7088	22203
242	7103	22127
243	7117	22051
244	7130	21972
245	7146	21903
246	7160	21828
247	7172	21748
248	7187	21679
249	7202	21606
250	7216	21534
251	7230	21463
252	7245	21393
253	7259	21320
254	7271	21245
255	7285	21172
256	7297	21097
257	7313	21034
258	7329	20970
259	7343	20901
260	7356	20828
261	7367	20753
262	7381	20684
263	7395	20618
264	7408	20547
265	7420	20476
266	7434	20408
267	7447	20340
268	7472	20305
269	7496	20268
270	7512	20208
271	7524	20138
272	7536	20070
273	7549	20003
274	7562	19937
275	7574	19870
276	7588	19806
277	7603	19746
278	7615	19680
279	7627	19614
280	7640	19550
281	7653	19485
282	7664	19419
283	7682	19369
284	7702	19323
285	7714	19260
286	7726	19196
287	7739	19134
288	7751	19071
289	7763	19006
290	7775	18943
291	7789	18886
292	7801	18825
293	7815	18767
294	7827	18706
295	7840	18647
296	7852	18585
297	7864	18526
298	7881	18478
299	7901	18436
300	7915	18382
301	7930	18330
302	7944	18275
303	7959	18223
304	7974	18171
305	8000	18145
306	8028	18123
307	8044	18073
308	8060	18025
309	8083	17992
310	8116	17981
311	8141	17954
312	8158	17906
313	8172	17854
314	8188	17806
315	8204	17759
316	8221	17712
317	8238	17668
318	8253	17620
319	8298	17634
320	8330	17621
321	8347	17577
322	8360	17523
323	8378	17481
324	8393	17432
325	8410	17389
326	8422	17335
327	8436	17284
328	8449	17233
329	8461	17179
330	8473	17126
331	8489	17081
332	8509	17044
333	8524	16998
334	8539	16951
335	8554	16904
336	8570	16860
337	8586	16817
338	8601	16771
339	8618	16730
340	8630	16679
341	8647	16638
342	8674	16614
343	8696	16584
344	8714	16545
345	8728	16498
346	8745	16457
347	8759	16412
348	8774	16366
349	8786	16317
350	8798	16268
351	8812	16223
352	8825	16175
353	8837	16127
354	8849	16079
355	8861	16030
356	8874	15983
357	8886	15936
358	8898	15889
359	8913	15845
360	8925	15799
361	8937	15752
362	8950	15706
363	8962	15659
364	8974	15613
365	8988	15569
366	9000	15523
367	9026	15502
368	9048	15473
369	9073	15449
370	9086	15405
371	9099	15361
372	9113	15319
373	9124	15273
374	9137	15229
375	9155	15194
376	9170	15153
377	9183	15110
378	9195	15066
379	9208	15024
380	9224	14986
381	9284	15020
382	9319	15013
383	9338	14981
384	9359	14951
385	9372	14908
386	9385	14866
387	9398	14823
388	9412	14783
389	9424	14740
390	9436	14698
391	9451	14659
392	9463	14616
393	9475	14573
394	9488	14533
395	9503	14495
396	9521	14462
397	9537	14426
